t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
27,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77244540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.38372202,NA,NA
27,1,MS,roots,0.01918904,9.59752196,0.01687064,0.02089091,0.00259577,1.10054726,0.27709201,0.00017918,NA,0.07832927,0.06347348,NA,NA,NA,0.05213318,0.66266157,1.10516041,NA,0.93411311,NA,NA,15.10955116,1.45515842,47.98760981,0.15988281,NA,2.31122099,9.34409819,0.00005373,0.03579592,25.13373483,NA,0.00000000,0.00004636,0.00000000,NA,NA,80.05281017,1.92427709,0.19393592
28,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67034730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.32008058,NA,NA
28,1,MS,roots,0.01942236,10.01470391,0.01030547,0.01255758,0.00155931,1.11480025,0.30147824,0.00017945,NA,0.07932231,0.06329899,NA,NA,NA,0.05249411,0.67071876,1.11747366,NA,0.93933769,NA,NA,15.18217278,1.49603766,50.07351953,0.15944329,NA,2.36442025,9.37613054,0.00005438,0.03585031,25.24016067,NA,0.00000000,0.00002776,0.00000000,NA,NA,78.54287943,1.94767404,0.19511542
29,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56355034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.29103672,NA,NA
29,1,MS,roots,0.01952239,10.04593420,0.00928391,0.01110342,0.00137764,1.12497585,0.31537875,0.00017972,NA,0.08001467,0.06285860,NA,NA,NA,0.05270217,0.67417317,1.12551135,NA,0.94037457,NA,NA,15.25535787,1.48567044,50.22967100,0.15833400,NA,2.41808296,9.40842632,0.00005466,0.03590497,25.34656650,NA,0.00000000,0.00002444,0.00000000,NA,NA,77.02453784,1.95770519,0.19557544
30,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45691326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.87163385,NA,NA
30,1,MS,roots,0.01948698,9.88143769,0.00956798,0.01123413,0.00139278,1.13103480,0.32334314,0.00017999,NA,0.08039644,0.06215574,NA,NA,NA,0.05272703,0.67295029,1.12916540,NA,0.93710683,NA,NA,15.32693933,1.44993208,49.40718843,0.15656357,NA,2.47017744,9.44063577,0.00005456,0.03595953,25.45087455,NA,0.00000000,0.00002462,0.00000000,NA,NA,75.48916684,1.95415412,0.19527921
31,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35506686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.27243181,NA,NA
31,1,MS,roots,0.01942047,9.61040812,0.01555269,0.01794591,0.00222336,1.13700086,0.32691460,0.00018027,NA,0.08073127,0.06141153,NA,NA,NA,0.05270222,0.67065361,1.13215615,NA,0.93254567,NA,NA,15.39089418,1.40193234,48.05204061,0.15468898,NA,2.51471182,9.47189704,0.00005438,0.03601391,25.54641507,NA,0.00000000,0.00003917,0.00000000,NA,NA,73.92574993,1.94748487,0.19484502
32,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25578370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.58471061,NA,NA
32,1,MS,roots,0.01906716,9.40792077,0.02021751,0.02299495,0.00284765,1.13324943,0.33185145,0.00018053,NA,0.08034780,0.06014886,NA,NA,NA,0.05225958,0.65845264,1.12511051,NA,0.91922362,NA,NA,15.44854996,1.36569754,47.03960384,0.15150845,NA,2.55330043,9.50209900,0.00005339,0.03606730,25.63390728,NA,0.00000000,0.00005001,0.00000000,NA,NA,72.38554486,1.91205494,0.19275624
33,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.16596638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.89383710,NA,NA
33,1,MS,roots,0.01893290,9.01602886,0.02385947,0.02681412,0.00331982,1.13829959,0.32932664,0.00018080,NA,0.08055432,0.05932132,NA,NA,NA,0.05209346,0.65381598,1.12634689,NA,0.91185498,NA,NA,15.50061736,1.30514530,45.08014428,0.14942398,NA,2.58643494,9.53160922,0.00005301,0.03612031,25.71540022,NA,0.00000000,0.00005811,0.00000000,NA,NA,70.80924850,1.89859072,0.19196910
34,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08277931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.22576930,NA,NA
